h,mean,0.95
0.19597989949748745,-0.13586160804242195,"(-0.22371297725182424, -0.028773666433072834)"
0.20100502512562815,-0.13645036149245585,"(-0.22458041559509484, -0.028914367102036875)"
0.20603015075376885,-0.13704423985281963,"(-0.22545460703993578, -0.02905645056022436)"
0.21105527638190955,-0.13764331033208385,"(-0.2263356307549573, -0.02919993729312861)"
0.21608040201005024,-0.13824764131915163,"(-0.22722356715111372, -0.02934484819289742)"
0.22110552763819097,-0.13885730240928465,"(-0.22811849790616892, -0.02949120456847392)"
0.22613065326633167,-0.1394723644308205,"(-0.22902050598974158, -0.02963902815604247)"
0.23115577889447236,-0.1400928994726037,"(-0.2299296756889476, -0.02978834112979019)"
0.23618090452261306,-0.14071898091215163,"(-0.23084609263465522, -0.029939166112995554)"
0.24120603015075376,-0.14135068344457993,"(-0.23176984382837085, -0.030091526189455445)"
0.24623115577889448,-0.1419880831123098,"(-0.23270101766977308, -0.030245444915263)"
0.25125628140703515,-0.14263125733558293,"(-0.23363970398491257, -0.0304009463309487)"
0.2562814070351759,-0.14328028494380965,"(-0.23458599405509784, -0.030558054973997953)"
0.2613065326633166,-0.14393524620777698,"(-0.23553998064648557, -0.030716795891758877)"
0.2663316582914573,-0.14459622287274365,"(-0.23650175804039578, -0.030877194654754386)"
0.271356783919598,-0.14526329819245168,"(-0.23747142206437324, -0.031039277370413704)"
0.2763819095477387,-0.14593655696408353,"(-0.2384490701240153, -0.03120307069723846)"
0.2814070351758794,-0.14661608556419584,"(-0.23943480123559005, -0.031368601859419865)"
0.2864321608040201,-0.1473019719856621,"(-0.24042871605946642, -0.03153589866192352)"
0.2914572864321608,-0.14799430587565668,"(-0.2414309169343803, -0.031704989506059524)"
0.2964824120603015,-0.14869317857471542,"(-0.24244150791256164, -0.031875903405556266)"
0.30150753768844224,-0.149398683156908,"(-0.24346059479574697, -0.03204867000315683)"
0.3065326633165829,-0.1501109144711596,"(-0.24448828517210455, -0.03222331958775817)"
0.31155778894472363,-0.1508299691837601,"(-0.2455246884540984, -0.03239988311211363)"
0.3165829145728643,-0.1515559458221007,"(-0.2465699159173192, -0.03257839221112077)"
0.32160804020100503,-0.15228894481968014,"(-0.24762408074031209, -0.032758879220717046)"
0.32663316582914576,-0.15302906856242285,"(-0.24868729804542944, -0.03294137719740704)"
0.3316582914572864,-0.1537764214363548,"(-0.24975968494074166, -0.03312591993844618)"
0.33668341708542715,-0.15453110987668295,"(-0.2508413605630365, -0.0333125420027066)"
0.3417085427135678,-0.15529324241832676,"(-0.25193244612194027, -0.03350127873225234)"
0.34673366834170855,-0.1560629297479532,"(-0.25303306494519645, -0.03369216627465221)"
0.35175879396984927,-0.15684028475756592,"(-0.2541433425251355, -0.033885241606059775)"
0.35678391959798994,-0.15762542259970502,"(-0.25526340656637414, -0.03408054255509148)"
0.36180904522613067,-0.15841846074431207,"(-0.25639338703478104, -0.03427810782753539)"
0.36683417085427134,-0.15921951903732137,"(-0.257533416207749, -0.034477977031924255)"
0.37185929648241206,-0.16002871976103716,"(-0.2586836287258147, -0.03468019070600857)"
0.3768844221105528,-0.16084618769636183,"(-0.25984416164566704, -0.034884790344166666)"
0.38190954773869346,-0.1616720501869408,"(-0.2610151544945897, -0.03509181842579086)"
0.3869346733668342,-0.16250643720529423,"(-0.2621967493263822, -0.0353013184446904)"
0.3919597989949749,-0.16334948142100655,"(-0.2633890907788062, -0.03551333493955388)"
0.3969849246231156,-0.16420131827105006,"(-0.2645923261326072, -0.035727913525516165)"
0.4020100502512563,-0.16506208603232006,"(-0.26580660537216083, -0.03594510092687648)"
0.40703517587939697,-0.16593192589646383,"(-0.2670320812477971, -0.03616494501101735)"
0.4120603015075377,-0.16681098204708786,"(-0.26826890933985664, -0.0363874948235758)"
0.4170854271356784,-0.16769940173943199,"(-0.2695172481245349, -0.036612800624921074)"
0.4221105527638191,-0.16859733538260405,"(-0.2707772590415744, -0.03684091392799634)"
