h,0.75,0.85,0.95,1.00
0.25252525252525254,"(-0.0284236902957959, 0.02563816735773268)","(-0.03225236762074302, 0.03383594142021476)","(-0.03874545070929192, 0.05152646387972794)","(-0.0564188244932637, 0.11171892480777805)"
0.26262626262626265,"(-0.028247289016401157, 0.0254790534117188)","(-0.03205220505027446, 0.033625950975837655)","(-0.03850499118399038, 0.05120668365216138)","(-0.05606868161178039, 0.11102558199888839)"
0.27272727272727276,"(-0.028073063772792194, 0.025321902249885002)","(-0.03185451162808991, 0.03341855091358932)","(-0.03826749789869506, 0.050890848142122705)","(-0.05572285799284925, 0.11034079206880512)"
0.2828282828282829,"(-0.02790097454735826, 0.02516667777634821)","(-0.031659241946197646, 0.03321369359597022)","(-0.03803291630382604, 0.050578884805689804)","(-0.05538127420461135, 0.10966439772885814)"
0.29292929292929293,"(-0.027730982297749687, 0.025013344774910788)","(-0.03146635170323494, 0.03301133254644468)","(-0.0378011931792202, 0.0502707228668938)","(-0.05504385275102551, 0.10899624552362762)"
0.30303030303030304,"(-0.02756304892734795, 0.02486186888242456)","(-0.03127579767096038, 0.03281142241428803)","(-0.03757227659387772, 0.049966293264187146)","(-0.05471051801325365, 0.10833618571487706)"
0.31313131313131315,"(-0.027397137256802217, 0.024712216563116757)","(-0.031087537661956408, 0.032613918940703326)","(-0.03734611586716248, 0.04966552859884513)","(-0.054381196193163006, 0.10768407216967799)"
0.32323232323232326,"(-0.027233210996587758, 0.02456435508383772)","(-0.03090153049849135, 0.03241877892615456)","(-0.037122661531395346, 0.04936836308521974)","(-0.05405581525885679, 0.10703976225255128)"
0.33333333333333337,"(-0.02707123472054363, 0.024418252490191892)","(-0.0307177359824926, 0.032225960198865505)","(-0.036901865295782314, 0.04907473250276877)","(-0.05373430489214844, 0.1064031167214573)"
0.3434343434343435,"(-0.02691117384034915, 0.024273877583515572)","(-0.030536114866585085, 0.0320354215844362)","(-0.03668368001162242, 0.04878457414978678)","(-0.053416596437899436, 0.10577399962747606)"
