h=0.5,h=0.25,h=0.0
-0.11043455141524089,-0.08131605423967066,-0.0643490204155004
-0.09750797012575746,-0.07179785027362384,-0.056816841105313994
-0.20092828515489533,-0.14794912574512079,-0.11707874173244899
-0.31169743717675374,-0.22951155578591215,-0.18162273030773585
-0.25876283530569044,-0.19053432536535458,-0.15077830949164925
-0.1902527268116499,-0.14008841304105024,-0.11085820918196715
-0.23422633804925017,-0.17246741499910417,-0.1364811575347152
-0.1582827659552033,-0.1165480351635866,-0.09222965826678396
-0.15169305073891445,-0.11169584322650977,-0.08838990237923676
-0.3572296606123189,-0.26303820757279345,-0.20815386515521211
-0.17899123084548024,-0.13179625804907094,-0.10429625710673902
-0.2843937627685637,-0.20940709535513177,-0.16571317411001563
-0.27993025040472397,-0.20612048614790374,-0.16311233366158037
-0.2509046684655126,-0.1847481369595393,-0.14619944054215106
-0.22267791693718722,-0.16396398898345355,-0.12975201727576927
-0.30809654017393223,-0.2268601144368011,-0.17952452651391215
-0.235051407894432,-0.17307493704200227,-0.1369619168227408
-0.21155132318522082,-0.15577116627133253,-0.12326867126381223
-0.18474247279517875,-0.13603105862854442,-0.10764744367736295
-0.2661623378611156,-0.19598278640795988,-0.15508991971600056
-0.1980831365395368,-0.1458541631074178,-0.11542090436191052
-0.29148735720309343,-0.21463030767772778,-0.16984653497613164
-0.2089763919566279,-0.15387517226615577,-0.12176828664619185
-0.2929307677845124,-0.21569313132870135,-0.17068759473307704
-0.191351887679862,-0.14089775598338344,-0.11149867834892696
-0.34364587822403253,-0.2530360880249674,-0.20023874186253107
-0.2474153681372685,-0.18217886736851124,-0.1441662629253585
-0.322607817884186,-0.2375451747757257,-0.18798009131374568
-0.07236403104673411,-0.05328366347477508,-0.042165739358738005
-0.3271884212242291,-0.2409180013492572,-0.190649159409431
-0.09195768304896645,-0.06771101839720266,-0.05358274876881882
-0.2277576342242469,-0.16770432713979375,-0.13271191367794602
-0.31102441459768343,-0.2290159904049434,-0.18123056731956153
-0.3510734160201091,-0.2585051922007246,-0.2045666879188291
-0.11926676206918876,-0.08781945839524279,-0.06949545417560038
-0.15356953781835395,-0.1130775532364323,-0.08948331113434861
-0.31920482490114754,-0.23503945570103593,-0.18599720405488435
-0.07549111286596531,-0.055586221429380946,-0.04398785616229192
-0.08169882851659202,-0.060157136383821086,-0.04760502502852657
-0.08436241135750903,-0.06211840705489453,-0.049157065983209985
